District_Area(km2),Cholera Cases,District,Distance From Main Road,Estimated Number of Poor Persons,Female Population,ID,Male population,Pop Density per district,Pop Total,Region,Time To Access Urban Centre,Water Scarcity,Distance to water body,Gdppersqkm,Flood Frequency Rates,Men Literacy Levels,Women Literacy Levels,Water Coverage,perc poor persons,perc water coverage,perc men lit ,perc women lit
1446.3742,89,Yendi Municipal,3632,37581,58860,810,58920,81.431209,117780,Northern,39,1.849081122,3213,1449,1.82E-05,0.588791009,0.393335008,0.985831095,32,95,59,39
1353.6555,137,Tolon,4883,30692,36630,812,36360,53.920661,72990,Northern,98,2.261631435,2764,1355,0.000927248,0.377639337,0.248263124,0.791826538,42,76,38,25
1541.0649,164,Kumbumgu,5396,12596,19655,822,19686,25.528451,39341,Northern,125,2.263626452,2785,1542,0.012398467,0.445328529,0.275360832,0.856353353,32,83,45,28
2610.4358,133,West Mamprusi,3432,36357,61551,820,59566,46.397234,121117,Northern,60,3.414403228,3318,2613,0.002901981,0.439883862,0.318459942,0.907323689,30,87,44,32
2121.3132,108,Mamprugu Moagduri,5753,32163,23455,826,23439,22.106118,46894,Northern,137,2.252204982,3110,2122,0.001850806,0.330914902,0.192345396,0.922495495,69,89,33,19
1100.1338,101,Zabzugu,4771,22646,32509,809,31306,58.006581,63815,Northern,65,1.689501191,3609,1103,0,0.279207788,0.183233277,0.983406647,35,95,28,18
1706.7612,171,Mamprusi East,4459,53208,61556,819,59453,70.899784,121009,Northern,85,3.143737304,2446,1710,0,0.467665732,0.30084035,0.724297831,44,70,47,30
1090.4644,109,Tatale,8384,25485,30260,825,29779,55.058194,60039,Northern,78,1.689867448,3978,1093,1.35E-06,0.25122596,0.158319272,0.864153599,42,83,25,16
4392.3874,179,Sene East,17978,17683,28865,727,32211,13.904967,61076,Brong Ahafo,307,1.245015553,2320,4401,1.825759333,0.489354217,0.253295476,0.485114345,29,47,49,25
3262.0991,208,Sene West,13865,26106,28471,719,29263,17.69842,57734,Brong Ahafo,200,1.189400478,3379,3267,0.367723639,0.573087006,0.327976744,0.686639587,45,66,57,33
936.3103,227,Asutifi North,2279,18250,25498,703,26761,55.813762,52259,Brong Ahafo,93,1.064033011,4653,935,2.52E-05,0.854806014,0.69227165,0.855145659,35,82,85,69
