Cholera_Cases,District,Distance_From_Main_Road,ID,Region,Time_To_Access_UrbanCentre,Water_Scarcity,Distance_to_waterbody,percpoorpersons,percwatercoverage,perc_men_lit,perc_women_lit,District_C,flood_freq,DistCode,water_scarcity
224,La Nkwantanang Madina,124,313,Greater Accra,5,0.57776314,8037,3,95,94,83,Madina,0 to 7 days of Flooding,313,Low
133,Pusiga,1358,913,Upper East,28,2.255531788,2477,43,67,48,36,Pusiga,0 to 7 days of Flooding,913,Severe
122,Garu Tempane,4391,908,Upper East,45,2.255502548,3914,54,75,51,34,Garu,0 to 7 days of Flooding,908,Severe
95,Bawku Municipal,1369,909,Upper East,19,2.255531788,2496,42,87,63,49,Bawku,0 to 7 days of Flooding,909,Severe
139,North Gonja,11047,821,Northern,204,2.252407478,2751,53,81,35,22,Daboya,0 to 7 days of Flooding,821,Severe
182,West Gonja,9010,803,Northern,175,2.011894408,3432,52,57,63,33,Damongo,0 to 7 days of Flooding,803,Severe
132,Mion,5406,824,Northern,61,2.254368594,3056,44,88,35,17,Sang,0 to 7 days of Flooding,824,Severe
89,Yendi Municipal,3632,810,Northern,39,1.849081122,3213,32,95,59,39,Yendi,0 to 7 days of Flooding,810,Significant
137,Tolon,4883,812,Northern,98,2.261631435,2764,42,76,38,25,Tolon,0 to 7 days of Flooding,812,Severe
164,Kumbumgu,5396,822,Northern,125,2.263626452,2785,32,83,45,28,Kumbumgu,0 to 7 days of Flooding,822,Severe
133,West Mamprusi,3432,820,Northern,60,3.414403228,3318,30,87,44,32,Walewale,0 to 7 days of Flooding,820,Severe
108,Mamprugu Moagduri,5753,826,Northern,137,2.252204982,3110,69,89,33,19,Yagaba,0 to 7 days of Flooding,826,Severe
101,Zabzugu,4771,809,Northern,65,1.689501191,3609,35,95,28,18,Zabzugu,0 to 7 days of Flooding,809,Significant
171,Mamprusi East,4459,819,Northern,85,3.143737304,2446,44,70,47,30,Gambaga,0 to 7 days of Flooding,819,Severe
109,Tatale,8384,825,Northern,78,1.689867448,3978,42,83,25,16,Tatale,0 to 7 days of Flooding,825,Significant
179,Sene East,17978,727,Brong Ahafo,307,1.245015553,2320,29,47,49,25,Kajaji,2 weeks to 1 month of Flooding,727,Moderate
208,Sene West,13865,719,Brong Ahafo,200,1.189400478,3379,45,66,57,33,Kwame Danso,0 to 7 days of Flooding,719,Moderate
